Timestamp,Station,Latitude,Longitude,TEC,foF2,hmF2,scaleF2,B0,B1,zhalfNm,yF2,FF,QF,F10.7,Kp,Ap,Dst,SSN,DayOfYear,LocalTime,TopsideTEC
2020-01-01 00:00:00,DB049,-17.8,25.9,21.9616,1.5,240.12,80.44,113.03,3.282,197.1,67.82,1.0128,0,98.21,1.5,10.7,3.2,19.9,1,1.7267,8.0997
2020-01-01 00:15:00,DB049,-17.8,25.9,20.9856,1.509,257.5,95.33,81.94,3.111,236.29,49.17,0.995,0,99.53,0.7,10.9,-12.3,7.8,1,1.9767,6.8424
2020-01-01 00:30:00,DB049,-17.8,25.9,24.7504,1.5,250.74,117.43,82.89,3.129,216.67,49.73,0.9488,3,93.24,2.2,18.5,-11.7,3.7,1,2.2267,7.1323
2020-01-01 00:45:00,DB049,-17.8,25.9,23.4911,1.5,251.19,102.33,116.01,2.8,222.36,69.61,1.0219,0,110.09,1.8,15.2,-9.0,15.0,1,2.4767,8.584
2020-01-01 01:00:00,DB049,-17.8,25.9,21.4266,1.5,230.08,89.83,89.82,2.808,215.03,53.89,0.9134,0,111.06,0.5,6.9,-7.6,18.0,1,2.7267,7.7558
2020-01-01 01:15:00,DB049,-17.8,25.9,21.8503,1.5,224.54,88.28,94.97,3.257,181.78,56.98,0.8867,0,92.18,2.1,15.8,0.4,7.9,1,2.9767,6.7802
2020-01-01 01:30:00,DB049,-17.8,25.9,21.2138,1.5,220.11,85.14,93.97,2.801,186.29,56.38,0.8804,0,106.25,0.9,9.7,-2.8,16.6,1,3.2267,7.0837
2020-01-01 01:45:00,DB049,-17.8,25.9,24.3531,1.5,213.49,73.82,97.84,2.494,170.26,58.71,0.9003,1,105.37,0.4,6.3,9.5,8.6,1,3.4767,7.7935
2020-01-01 02:00:00,DB049,-17.8,25.9,24.3702,1.5,211.97,91.51,98.95,2.898,164.7,59.37,1.0434,0,103.75,0.8,6.0,-8.9,6.8,1,3.7267,6.7496
2020-01-01 02:15:00,DB049,-17.8,25.9,21.9192,1.5,234.45,95.21,103.11,2.693,206.65,61.86,1.1359,0,109.73,1.9,17.6,-27.8,5.7,1,3.9767,4.1132
2020-01-01 02:30:00,DB049,-17.8,25.9,24.1219,1.5,185.31,62.36,110.55,2.933,145.16,66.33,1.0314,0,109.76,3.9,30.3,-3.8,2.2,1,4.2267,2.5889
2020-01-01 02:45:00,DB049,-17.8,25.9,25.3128,1.5,189.49,74.67,82.8,2.816,170.15,49.68,1.0157,0,99.79,0.3,2.9,-17.3,11.6,1,4.4767,8.4541
2020-01-01 03:00:00,DB049,-17.8,25.9,28.1302,1.5,212.36,77.22,89.97,2.645,175.11,53.98,1.2128,0,93.16,2.5,15.7,4.0,16.0,1,4.7267,5.927
2020-01-01 03:15:00,DB049,-17.8,25.9,24.6459,1.5,183.96,63.78,104.1,2.864,141.18,62.46,1.0173,0,117.17,1.7,13.2,-5.7,25.2,1,4.9767,5.491
2020-01-01 03:30:00,DB049,-17.8,25.9,29.178,1.5,206.77,84.17,85.68,3.461,164.53,51.41,0.8632,0,117.89,3.6,22.5,-15.7,26.7,1,5.2267,4.1879
2020-01-01 03:45:00,DB049,-17.8,25.9,28.6655,1.5,196.48,77.28,79.84,2.998,169.86,47.9,1.1407,0,102.28,2.3,12.3,-10.7,3.7,1,5.4767,3.6777
2020-01-01 04:00:00,DB049,-17.8,25.9,25.993,1.5,178.74,71.74,117.73,2.602,143.9,70.64,0.9672,0,111.4,2.1,18.4,-12.3,5.2,1,5.7267,4.457
2020-01-01 04:15:00,DB049,-17.8,25.9,28.1407,1.5,183.61,75.27,85.82,3.027,178.79,51.49,1.1877,0,92.84,1.2,7.8,-18.9,15.3,1,5.9767,6.8012
2020-01-01 04:30:00,DB049,-17.8,25.9,30.8591,1.5,168.66,58.96,72.25,2.951,133.36,43.35,0.9123,3,100.43,0.6,5.1,21.9,0.0,1,6.2267,3.6369
2020-01-01 04:45:00,DB049,-17.8,25.9,30.0689,1.953,219.85,90.67,105.03,2.89,207.14,63.02,0.9013,0,98.92,2.4,18.0,-15.6,10.8,1,6.4767,2.9199
2020-01-01 05:00:00,DB049,-17.8,25.9,33.524,1.5,170.41,71.94,112.01,2.833,150.54,67.21,1.0155,0,104.89,1.6,12.8,-20.8,15.3,1,6.7267,5.2518
2020-01-01 05:15:00,DB049,-17.8,25.9,33.9397,2.117,196.45,69.68,96.27,2.771,178.37,57.76,1.0263,0,106.18,0.6,9.8,-3.2,1.0,1,6.9767,4.6258
2020-01-01 05:30:00,DB049,-17.8,25.9,33.3444,1.555,172.42,66.95,91.78,2.969,143.95,55.07,1.1471,0,75.71,1.2,11.4,-5.6,8.4,1,7.2267,2.5028
2020-01-01 05:45:00,DB049,-17.8,25.9,35.2247,1.615,196.66,76.04,84.77,3.259,166.05,50.86,0.8947,0,98.03,3.1,21.5,16.0,23.9,1,7.4767,6.0083
