2026-07-05 18:55:43 | ModelRegistry | INFO | Registered model: 'DummyTestModel' -> DummyTestModel
2026-07-05 18:55:43 | SeedUtils | INFO | Setting random seed to 42 (Deterministic: True)
2026-07-05 18:55:45 | SeedUtils | INFO | Configured PyTorch backends for deterministic execution (cudnn.benchmark=False).
2026-07-05 18:55:45 | ModelConfig | INFO | ModelConfig validated successfully.
2026-07-05 18:55:45 | ModelFactory | INFO | Factory creating model: 'DummyTestModel'
2026-07-05 18:55:45 | WeightInit | INFO | Applied 'xavier_uniform' initialization to all layers.
2026-07-05 18:55:45 | BaseModel | INFO | Model weights initialized using xavier_uniform
2026-07-05 18:55:45 | DeviceManager | INFO | Device selected: cpu
2026-07-05 18:55:45 | BaseModel | INFO | Model moved to device: cpu
2026-07-05 18:55:45 | ModelFactory | INFO | Model 'DummyTestModel' successfully created and initialized.
2026-07-05 19:03:58 | ModelRegistry | INFO | Registered model: 'TemporalEncoder' -> TemporalEncoder
2026-07-05 19:03:58 | SeedUtils | INFO | Setting random seed to 42 (Deterministic: True)
2026-07-05 19:03:59 | SeedUtils | INFO | Configured PyTorch backends for deterministic execution (cudnn.benchmark=False).
2026-07-05 19:03:59 | ModelConfig | INFO | ModelConfig validated successfully.
2026-07-05 19:03:59 | TemporalEncoder | INFO | TemporalEncoder initialized with 4 Mamba blocks.
2026-07-05 19:03:59 | WeightInit | INFO | Applied 'xavier_uniform' initialization to all layers.
2026-07-05 19:03:59 | BaseModel | INFO | Model weights initialized using xavier_uniform
2026-07-05 19:03:59 | DeviceManager | INFO | Device selected: cpu
2026-07-05 19:03:59 | BaseModel | INFO | Model moved to device: cpu
2026-07-05 19:17:13 | ModelRegistry | INFO | Registered model: 'AdaptiveFusionLayer' -> AdaptiveFusionLayer
2026-07-05 19:17:13 | SeedUtils | INFO | Setting random seed to 42 (Deterministic: True)
2026-07-05 19:17:15 | SeedUtils | INFO | Configured PyTorch backends for deterministic execution (cudnn.benchmark=False).
2026-07-05 19:17:15 | ModelConfig | INFO | ModelConfig validated successfully.
2026-07-05 19:17:15 | PhysicsEncoder | INFO | PhysicsEncoder initialized mapping 9 -> 128.
2026-07-05 19:17:15 | GeoEncoder | INFO | GeoEncoder initialized targeting dim 128.
2026-07-05 19:17:15 | StormEncoder | INFO | StormContextEncoder initialized mapping 5 -> 128.
2026-07-05 19:17:15 | PhysicsCrossAttention | INFO | PhysicsCrossAttention initialized with 4 heads.
2026-07-05 19:17:15 | AdaptiveFusionLayer | INFO | AdaptiveFusionLayer fully initialized.
2026-07-05 19:17:15 | WeightInit | INFO | Applied 'xavier_uniform' initialization to all layers.
2026-07-05 19:17:15 | BaseModel | INFO | Model weights initialized using xavier_uniform
